"Paper_No","Module_No","Exam_Year","Exam_Sitting","Title","Paper","Module_URL","Subject","Paper_Language","Paper_type","subject","paper_no","regex_start","regex_end"
"agricultural management practices paper 1",4273,2015,"November","2015 November NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=SWPOFA3GCGg%3d&tabid=979&portalid=0&mid=4273","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2924,2015,"February","2015 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=ZkCXNraZDLE%3d&tabid=730&portalid=0&mid=2924","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9613,2020,"November","2020 NSC and SC Exam Papers (November)","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=DDw_yHjKdcE%3d&tabid=2702&portalid=0&mid=9613","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",4273,2015,"November","2015 November NSC Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=g7G59S-Uq34%3d&tabid=979&portalid=0&mid=4273","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2351,2012,"February","2012 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=eOQ3xG_QKao%3d&tabid=649&portalid=0&mid=2351","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2522,2009,"November","2009 November NSC Examination Papers ","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=xkD6aVc_c-M%3d&tabid=677&portalid=0&mid=2522","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8244,2018,"May","2018 May/June NSC Exam Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=nlBxuzkXzxE%3d&tabid=2182&portalid=0&mid=8244","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8244,2018,"May","2018 May/June NSC Exam Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=2ZIoHJORiKE%3d&tabid=2182&portalid=0&mid=8244","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2838,2011,"February","2011 Feb/March NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Oqa912hNvNU%3d&tabid=726&portalid=0&mid=2838","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=UHBa-Bp3lrQ%3d&tabid=1920&portalid=0&mid=7577","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",6371,2017,"February","2017 Feb/March NSC Exam Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=tTjFJO3vy0E%3d&tabid=1608&portalid=0&mid=6371","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9895,2021,"May","2021 NSC/SC May/June Examinations","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=Lo_oEjh0HMs%3d&tabid=2837&portalid=0&mid=9895","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=t7Sz-i_8ud0%3d&tabid=1920&portalid=0&mid=7577","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",4273,2015,"November","2015 November NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=5HqdhRKPQLM%3d&tabid=979&portalid=0&mid=4273","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9613,2020,"November","2020 NSC and SC Exam Papers (November)","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=hJRDYrKJvig%3d&tabid=2702&portalid=0&mid=9613","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8777,2019,"May","2019 May/June Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=S67H6hJzy_4%3d&tabid=2468&portalid=0&mid=8777","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1882,2013,"November","2013 November NSC Examination Papers ","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=yXiTzStplXE%3d&tabid=607&portalid=0&mid=1882","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1882,2013,"November","2013 November NSC Examination Papers ","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=yXiTzStplXE%3d&tabid=607&portalid=0&mid=1882","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9895,2021,"May","2021 NSC/SC May/June Examinations","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=QoE7XWGrvm4%3d&tabid=2837&portalid=0&mid=9895","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2522,2009,"November","2009 November NSC Examination Papers ","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=-TKLFmpkryQ%3d&tabid=677&portalid=0&mid=2522","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8640,2017,"November","2017 November NSC Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=QRa-4kYwqBA%3d&tabid=1856&portalid=0&mid=8640","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2522,2009,"November","2009 November NSC Examination Papers ","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=eVllWFMOhPo%3d&tabid=677&portalid=0&mid=2522","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2293,2011,"November","2011 November NSC Examination Papers  ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=kWCwxZoNFio%3d&tabid=647&portalid=0&mid=2293","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2293,2011,"November","2011 November NSC Examination Papers  ","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=Sm-TqRtySg0%3d&tabid=647&portalid=0&mid=2293","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=QGLInUi_CDM%3d&tabid=1920&portalid=0&mid=7577","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",6371,2017,"February","2017 Feb/March NSC Exam Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=hFRj4V5YSqc%3d&tabid=1608&portalid=0&mid=6371","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",4426,2016,"February","2016 Feb/March NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=bCgBxAHpejk%3d&tabid=1000&portalid=0&mid=4426","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1522,2014,"November","2014 November NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=sRPTAJ_-ij4%3d&tabid=568&portalid=0&mid=1522","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2924,2015,"February","2015 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=jtYJiWLw2Xw%3d&tabid=730&portalid=0&mid=2924","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9019,2019,"November","2019 NSC Examination Papers (November)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=1MK9K_QC6FQ%3d&tabid=2556&portalid=0&mid=9019","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9019,2019,"November","2019 NSC Examination Papers (November)","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=5cPpciopCKg%3d&tabid=2556&portalid=0&mid=9019","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2351,2012,"February","2012 Feb/March NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=8eOQfK0p3GM%3d&tabid=649&portalid=0&mid=2351","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8244,2018,"May","2018 May/June NSC Exam Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=_HnUFHoKk-Q%3d&tabid=2182&portalid=0&mid=8244","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",7332,2018,"November","2018 November NSC Examination Papers ","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=is3S4vL12tc%3d&tabid=2268&portalid=0&mid=7332","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2293,2011,"November","2011 November NSC Examination Papers  ","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=pYXW35veKhw%3d&tabid=647&portalid=0&mid=2293","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",6161,2016,"November","2016 NSC Examinations (Oct/Nov)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=z4xbsQoGGrs%3d&tabid=1508&portalid=0&mid=6161","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2293,2011,"November","2011 November NSC Examination Papers  ","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=hYS9ZMvDJVo%3d&tabid=647&portalid=0&mid=2293","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1522,2014,"November","2014 November NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=_bxC7rXfB_k%3d&tabid=568&portalid=0&mid=1522","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",4426,2016,"February","2016 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=SBpGiUp09qM%3d&tabid=1000&portalid=0&mid=4426","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1930,2013,"February","2013 Feb/March NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=tu5Zmy6I9JI%3d&tabid=610&portalid=0&mid=1930","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",4273,2015,"November","2015 November NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=TNrIAZr_kls%3d&tabid=979&portalid=0&mid=4273","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1882,2013,"November","2013 November NSC Examination Papers ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=D4bz_aaVcqQ%3d&tabid=607&portalid=0&mid=1882","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2924,2015,"February","2015 Feb/March NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=b6ofDarDTQk%3d&tabid=730&portalid=0&mid=2924","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9019,2019,"November","2019 NSC Examination Papers (November)","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=cv2TTn5YfGg%3d&tabid=2556&portalid=0&mid=9019","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1522,2014,"November","2014 November NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=UxWNzWjnY_s%3d&tabid=568&portalid=0&mid=1522","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",7332,2018,"November","2018 November NSC Examination Papers ","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=JzdhyUe6VjQ%3d&tabid=2268&portalid=0&mid=7332","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9019,2019,"November","2019 NSC Examination Papers (November)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=f2FotvhYdVI%3d&tabid=2556&portalid=0&mid=9019","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8640,2017,"November","2017 November NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=x-irOvmPK8M%3d&tabid=1856&portalid=0&mid=8640","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8640,2017,"November","2017 November NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=PZMjP4RgygA%3d&tabid=1856&portalid=0&mid=8640","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1930,2013,"February","2013 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=Jt_w2cZ6bDU%3d&tabid=610&portalid=0&mid=1930","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",4426,2016,"February","2016 Feb/March NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=S0hFdPNbQkA%3d&tabid=1000&portalid=0&mid=4426","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",4426,2016,"February","2016 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=cGEh9yK56rY%3d&tabid=1000&portalid=0&mid=4426","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",7332,2018,"November","2018 November NSC Examination Papers ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Zt9JRiC6gyE%3d&tabid=2268&portalid=0&mid=7332","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",6161,2016,"November","2016 NSC Examinations (Oct/Nov)","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=iciR6iEbrSg%3d&tabid=1508&portalid=0&mid=6161","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
