"Module_No","Exam_Year","Exam_Sitting","Title","Paper","Module_URL","Subject","Paper_Language","Paper_type","Paper_No","HL_FAL_SAL","Region","NA.","NA..1","filename","fileext","mc_start","mc_end","mc"
10555,2022,"May","2022 May/June NSC/SC Exam Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=Rj5dJoJMsQA%3d&tabid=3138&portalid=0&mid=10555","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2022 May Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
10555,2022,"May","2022 May/June NSC/SC Exam Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=XPu0_qqqu60%3d&tabid=3138&portalid=0&mid=10555","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2022 May Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
10115,2021,"November","2021 NSC November Examination Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=ENgO-z9kpC4%3d&tabid=2922&portalid=0&mid=10115","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2021 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
10115,2021,"November","2021 NSC November Examination Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=2S1xxsf21WE%3d&tabid=2922&portalid=0&mid=10115","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2021 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
10115,2021,"November","2021 NSC November Examination Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=Rxa87xZ_pXA%3d&tabid=2922&portalid=0&mid=10115","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2021 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
10115,2021,"November","2021 NSC November Examination Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=hy9q36v8ZJU%3d&tabid=2922&portalid=0&mid=10115","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2021 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
9895,2021,"May","2021 NSC/SC May/June Examinations","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=QoE7XWGrvm4%3d&tabid=2837&portalid=0&mid=9895","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2021 May Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
9895,2021,"May","2021 NSC/SC May/June Examinations","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=V_418wSPp3I%3d&tabid=2837&portalid=0&mid=9895","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2021 May Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
9895,2021,"May","2021 NSC/SC May/June Examinations","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=dHjFThcHQhk%3d&tabid=2837&portalid=0&mid=9895","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2021 May Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
9895,2021,"May","2021 NSC/SC May/June Examinations","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=Lo_oEjh0HMs%3d&tabid=2837&portalid=0&mid=9895","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2021 May Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
9613,2020,"November","2020 NSC and SC Exam Papers (November)","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=hJRDYrKJvig%3d&tabid=2702&portalid=0&mid=9613","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2020 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
9613,2020,"November","2020 NSC and SC Exam Papers (November)","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=PdQBwmQEjUY%3d&tabid=2702&portalid=0&mid=9613","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2020 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
9613,2020,"November","2020 NSC and SC Exam Papers (November)","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=DDw_yHjKdcE%3d&tabid=2702&portalid=0&mid=9613","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2020 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
9613,2020,"November","2020 NSC and SC Exam Papers (November)","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=CpNCAdkHGzg%3d&tabid=2702&portalid=0&mid=9613","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2020 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
9019,2019,"November","2019 NSC Examination Papers (November)","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=5cPpciopCKg%3d&tabid=2556&portalid=0&mid=9019","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2019 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
9019,2019,"November","2019 NSC Examination Papers (November)","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=1MK9K_QC6FQ%3d&tabid=2556&portalid=0&mid=9019","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2019 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
9019,2019,"November","2019 NSC Examination Papers (November)","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=cv2TTn5YfGg%3d&tabid=2556&portalid=0&mid=9019","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2019 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
9019,2019,"November","2019 NSC Examination Papers (November)","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=f2FotvhYdVI%3d&tabid=2556&portalid=0&mid=9019","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2019 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
8777,2019,"May","2019 May/June Examination Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=kFCLnHegsKA%3d&tabid=2468&portalid=0&mid=8777","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2019 May Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
8777,2019,"May","2019 May/June Examination Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=tMpGEDPKM3A%3d&tabid=2468&portalid=0&mid=8777","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2019 May Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
8777,2019,"May","2019 May/June Examination Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=S67H6hJzy_4%3d&tabid=2468&portalid=0&mid=8777","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2019 May Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
8777,2019,"May","2019 May/June Examination Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=GymWlSB43FM%3d&tabid=2468&portalid=0&mid=8777","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2019 May Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
7332,2018,"November","2018 November NSC Examination Papers ","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=is3S4vL12tc%3d&tabid=2268&portalid=0&mid=7332","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
7332,2018,"November","2018 November NSC Examination Papers ","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Zt9JRiC6gyE%3d&tabid=2268&portalid=0&mid=7332","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
7332,2018,"November","2018 November NSC Examination Papers ","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=XgbeVRHvM5Q%3d&tabid=2268&portalid=0&mid=7332","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
7332,2018,"November","2018 November NSC Examination Papers ","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=JzdhyUe6VjQ%3d&tabid=2268&portalid=0&mid=7332","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=QGLInUi_CDM%3d&tabid=1920&portalid=0&mid=7577","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 February Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=QzhYeLvLXTY%3d&tabid=1920&portalid=0&mid=7577","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 February Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=t7Sz-i_8ud0%3d&tabid=1920&portalid=0&mid=7577","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 February Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=UHBa-Bp3lrQ%3d&tabid=1920&portalid=0&mid=7577","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 February Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
8244,2018,"May","2018 May/June NSC Exam Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=_HnUFHoKk-Q%3d&tabid=2182&portalid=0&mid=8244","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 May Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
8244,2018,"May","2018 May/June NSC Exam Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=nlBxuzkXzxE%3d&tabid=2182&portalid=0&mid=8244","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 May Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
8244,2018,"May","2018 May/June NSC Exam Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=2ZIoHJORiKE%3d&tabid=2182&portalid=0&mid=8244","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 May Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
8244,2018,"May","2018 May/June NSC Exam Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=HDP6haTNAs8%3d&tabid=2182&portalid=0&mid=8244","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2018 May Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
8640,2017,"November","2017 November NSC Examination Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=PZMjP4RgygA%3d&tabid=1856&portalid=0&mid=8640","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2017 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
8640,2017,"November","2017 November NSC Examination Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=x-irOvmPK8M%3d&tabid=1856&portalid=0&mid=8640","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2017 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
8640,2017,"November","2017 November NSC Examination Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=HOs6-FKwfyI%3d&tabid=1856&portalid=0&mid=8640","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2017 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
8640,2017,"November","2017 November NSC Examination Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=QRa-4kYwqBA%3d&tabid=1856&portalid=0&mid=8640","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2017 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
6371,2017,"February","2017 Feb/March NSC Exam Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=-zScaOBJzg4%3d&tabid=1608&portalid=0&mid=6371","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2017 February Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
6371,2017,"February","2017 Feb/March NSC Exam Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=tTjFJO3vy0E%3d&tabid=1608&portalid=0&mid=6371","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2017 February Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
6371,2017,"February","2017 Feb/March NSC Exam Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=D-Io6pGLwKY%3d&tabid=1608&portalid=0&mid=6371","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2017 February Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
6371,2017,"February","2017 Feb/March NSC Exam Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=hFRj4V5YSqc%3d&tabid=1608&portalid=0&mid=6371","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2017 February Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
6161,2016,"November","2016 NSC Examinations (Oct/Nov)","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Cll_tOSFYfI%3d&tabid=1508&portalid=0&mid=6161","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2016 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
6161,2016,"November","2016 NSC Examinations (Oct/Nov)","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=z4xbsQoGGrs%3d&tabid=1508&portalid=0&mid=6161","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2016 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
6161,2016,"November","2016 NSC Examinations (Oct/Nov)","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=jNILkXjU77U%3d&tabid=1508&portalid=0&mid=6161","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2016 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
6161,2016,"November","2016 NSC Examinations (Oct/Nov)","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=iciR6iEbrSg%3d&tabid=1508&portalid=0&mid=6161","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2016 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
4426,2016,"February","2016 Feb/March NSC Examination Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=S0hFdPNbQkA%3d&tabid=1000&portalid=0&mid=4426","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2016 February Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
4426,2016,"February","2016 Feb/March NSC Examination Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=SBpGiUp09qM%3d&tabid=1000&portalid=0&mid=4426","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2016 February Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
4426,2016,"February","2016 Feb/March NSC Examination Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=bCgBxAHpejk%3d&tabid=1000&portalid=0&mid=4426","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2016 February Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
4426,2016,"February","2016 Feb/March NSC Examination Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=cGEh9yK56rY%3d&tabid=1000&portalid=0&mid=4426","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2016 February Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
4273,2015,"November","2015 November NSC Examination Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=TNrIAZr_kls%3d&tabid=979&portalid=0&mid=4273","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2015 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
4273,2015,"November","2015 November NSC Examination Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=5HqdhRKPQLM%3d&tabid=979&portalid=0&mid=4273","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2015 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
4273,2015,"November","2015 November NSC Examination Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=SWPOFA3GCGg%3d&tabid=979&portalid=0&mid=4273","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2015 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
4273,2015,"November","2015 November NSC Examination Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=g7G59S-Uq34%3d&tabid=979&portalid=0&mid=4273","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2015 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
2924,2015,"February","2015 Feb/March NSC Examination Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=YjEtock-xzU%3d&tabid=730&portalid=0&mid=2924","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2015 February Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
2924,2015,"February","2015 Feb/March NSC Examination Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=jtYJiWLw2Xw%3d&tabid=730&portalid=0&mid=2924","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2015 February Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
2924,2015,"February","2015 Feb/March NSC Examination Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=b6ofDarDTQk%3d&tabid=730&portalid=0&mid=2924","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2015 February Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
2924,2015,"February","2015 Feb/March NSC Examination Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=ZkCXNraZDLE%3d&tabid=730&portalid=0&mid=2924","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2015 February Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
1522,2014,"November","2014 November NSC Examination Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=_bxC7rXfB_k%3d&tabid=568&portalid=0&mid=1522","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2014 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
1522,2014,"November","2014 November NSC Examination Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=UxWNzWjnY_s%3d&tabid=568&portalid=0&mid=1522","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2014 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
1522,2014,"November","2014 November NSC Examination Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=sRPTAJ_-ij4%3d&tabid=568&portalid=0&mid=1522","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2014 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
