"PDF_URL","paper","Module_No","Subject_Name","Grade","Year_title","Paper_type","Paper_Language","Module_name","Year","Paper_No","subject","paper_no","regex_start","regex_end","type"
"https://www.education.gov.za/LinkClick.aspx?fileticket=xkD6aVc_c-M%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"English","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=xkD6aVc_c-M%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"English","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=xkD6aVc_c-M%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"English","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=hYS9ZMvDJVo%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=hYS9ZMvDJVo%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=hYS9ZMvDJVo%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=hYS9ZMvDJVo%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=kWCwxZoNFio%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=kWCwxZoNFio%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=kWCwxZoNFio%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=kWCwxZoNFio%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=Oqa912hNvNU%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=Oqa912hNvNU%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=Oqa912hNvNU%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=Oqa912hNvNU%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"Afrikaans","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=atd5W8bVx_w%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=atd5W8bVx_w%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=atd5W8bVx_w%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=atd5W8bVx_w%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=pYXW35veKhw%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=pYXW35veKhw%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=pYXW35veKhw%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=pYXW35veKhw%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=Sm-TqRtySg0%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=Sm-TqRtySg0%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=Sm-TqRtySg0%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=Sm-TqRtySg0%3d&tabid=647&portalid=0&mid=2293","agricultural management practices paper 1",2293,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 November Exam papers",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices paper 1",2838,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC 2011 February/March Examination papers ",NA,"English","Agricultural Management Practices",2011,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=8eOQfK0p3GM%3d&tabid=649&portalid=0&mid=2351","agricultural management practices paper 1",2351,"Memo Paper 1 (Afrikaans)",12,"2012 Feb/March NSC Examination Papers",NA,"Afrikaans","Agricultural Management Practices",2012,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=8eOQfK0p3GM%3d&tabid=649&portalid=0&mid=2351","agricultural management practices paper 1",2351,"Memo Paper 1 (Afrikaans)",12,"2012 Feb/March NSC Examination Papers",NA,"Afrikaans","Agricultural Management Practices",2012,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=8eOQfK0p3GM%3d&tabid=649&portalid=0&mid=2351","agricultural management practices paper 1",2351,"Memo Paper 1 (Afrikaans)",12,"2012 Feb/March NSC Examination Papers",NA,"Afrikaans","Agricultural Management Practices",2012,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=8eOQfK0p3GM%3d&tabid=649&portalid=0&mid=2351","agricultural management practices paper 1",2351,"Memo Paper 1 (Afrikaans)",12,"2012 Feb/March NSC Examination Papers",NA,"Afrikaans","Agricultural Management Practices",2012,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=eOQ3xG_QKao%3d&tabid=649&portalid=0&mid=2351","agricultural management practices paper 1",2351,"Paper 1 (Afrikaans)",12,"2012 Feb/March NSC Examination Papers",NA,"Afrikaans","Agricultural Management Practices",2012,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=eOQ3xG_QKao%3d&tabid=649&portalid=0&mid=2351","agricultural management practices paper 1",2351,"Paper 1 (Afrikaans)",12,"2012 Feb/March NSC Examination Papers",NA,"Afrikaans","Agricultural Management Practices",2012,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=eOQ3xG_QKao%3d&tabid=649&portalid=0&mid=2351","agricultural management practices paper 1",2351,"Paper 1 (Afrikaans)",12,"2012 Feb/March NSC Examination Papers",NA,"Afrikaans","Agricultural Management Practices",2012,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
