"Module_No.x","Exam_Year.x","Exam_Sitting.x","Title.x","Module_name.x.x","QP_URL","Module_name.y.x","Doc_Type.x","language.x","paper.x","annex.x","region.x","HL_SAL_FAL.x","control.x","DFkey2.x","DFkey","Module_No.y","Memo_URL","Module_name.y.y","DFkey2","subject","paper_no","regex_start","regex_end"
1522,2014,"November","2014 November NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=UxWNzWjnY_s%3d&tabid=568&portalid=0&mid=1522","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2014 November paper 1 afrikaans NA All",1522,"https://www.education.gov.za/LinkClick.aspx?fileticket=_bxC7rXfB_k%3d&tabid=568&portalid=0&mid=1522","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
1522,2014,"November","2014 November NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=Z31cIxiz4Is%3d&tabid=568&portalid=0&mid=1522","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2014 November paper 1 english NA All",1522,"https://www.education.gov.za/LinkClick.aspx?fileticket=sRPTAJ_-ij4%3d&tabid=568&portalid=0&mid=1522","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
2924,2015,"February","2015 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=jtYJiWLw2Xw%3d&tabid=730&portalid=0&mid=2924","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2015 February paper 1 afrikaans NA All",2924,"https://www.education.gov.za/LinkClick.aspx?fileticket=YjEtock-xzU%3d&tabid=730&portalid=0&mid=2924","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
2924,2015,"February","2015 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=ZkCXNraZDLE%3d&tabid=730&portalid=0&mid=2924","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2015 February paper 1 english NA All",2924,"https://www.education.gov.za/LinkClick.aspx?fileticket=b6ofDarDTQk%3d&tabid=730&portalid=0&mid=2924","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
4273,2015,"November","2015 November NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=5HqdhRKPQLM%3d&tabid=979&portalid=0&mid=4273","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2015 November paper 1 afrikaans NA All",4273,"https://www.education.gov.za/LinkClick.aspx?fileticket=TNrIAZr_kls%3d&tabid=979&portalid=0&mid=4273","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
4273,2015,"November","2015 November NSC Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=g7G59S-Uq34%3d&tabid=979&portalid=0&mid=4273","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2015 November paper 1 english NA All",4273,"https://www.education.gov.za/LinkClick.aspx?fileticket=SWPOFA3GCGg%3d&tabid=979&portalid=0&mid=4273","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
4426,2016,"February","2016 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=SBpGiUp09qM%3d&tabid=1000&portalid=0&mid=4426","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2016 February paper 1 afrikaans NA All",4426,"https://www.education.gov.za/LinkClick.aspx?fileticket=S0hFdPNbQkA%3d&tabid=1000&portalid=0&mid=4426","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
4426,2016,"February","2016 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=cGEh9yK56rY%3d&tabid=1000&portalid=0&mid=4426","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2016 February paper 1 english NA All",4426,"https://www.education.gov.za/LinkClick.aspx?fileticket=bCgBxAHpejk%3d&tabid=1000&portalid=0&mid=4426","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
6161,2016,"November","2016 NSC Examinations (Oct/Nov)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=z4xbsQoGGrs%3d&tabid=1508&portalid=0&mid=6161","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2016 November paper 1 afrikaans NA All",6161,"https://www.education.gov.za/LinkClick.aspx?fileticket=Cll_tOSFYfI%3d&tabid=1508&portalid=0&mid=6161","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
6161,2016,"November","2016 NSC Examinations (Oct/Nov)","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=iciR6iEbrSg%3d&tabid=1508&portalid=0&mid=6161","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2016 November paper 1 english NA All",6161,"https://www.education.gov.za/LinkClick.aspx?fileticket=jNILkXjU77U%3d&tabid=1508&portalid=0&mid=6161","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
6371,2017,"February","2017 Feb/March NSC Exam Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=tTjFJO3vy0E%3d&tabid=1608&portalid=0&mid=6371","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2017 February paper 1 afrikaans NA All",6371,"https://www.education.gov.za/LinkClick.aspx?fileticket=-zScaOBJzg4%3d&tabid=1608&portalid=0&mid=6371","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
6371,2017,"February","2017 Feb/March NSC Exam Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=hFRj4V5YSqc%3d&tabid=1608&portalid=0&mid=6371","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2017 February paper 1 english NA All",6371,"https://www.education.gov.za/LinkClick.aspx?fileticket=D-Io6pGLwKY%3d&tabid=1608&portalid=0&mid=6371","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
8640,2017,"November","2017 November NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=x-irOvmPK8M%3d&tabid=1856&portalid=0&mid=8640","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2017 November paper 1 afrikaans NA All",8640,"https://www.education.gov.za/LinkClick.aspx?fileticket=PZMjP4RgygA%3d&tabid=1856&portalid=0&mid=8640","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
8640,2017,"November","2017 November NSC Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=QRa-4kYwqBA%3d&tabid=1856&portalid=0&mid=8640","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2017 November paper 1 english NA All",8640,"https://www.education.gov.za/LinkClick.aspx?fileticket=HOs6-FKwfyI%3d&tabid=1856&portalid=0&mid=8640","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=t7Sz-i_8ud0%3d&tabid=1920&portalid=0&mid=7577","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2018 February paper 1 afrikaans NA All",7577,"https://www.education.gov.za/LinkClick.aspx?fileticket=UHBa-Bp3lrQ%3d&tabid=1920&portalid=0&mid=7577","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=QGLInUi_CDM%3d&tabid=1920&portalid=0&mid=7577","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2018 February paper 1 english NA All",7577,"https://www.education.gov.za/LinkClick.aspx?fileticket=QzhYeLvLXTY%3d&tabid=1920&portalid=0&mid=7577","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
8244,2018,"May","2018 May/June NSC Exam Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=nlBxuzkXzxE%3d&tabid=2182&portalid=0&mid=8244","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2018 May paper 1 afrikaans NA All",8244,"https://www.education.gov.za/LinkClick.aspx?fileticket=_HnUFHoKk-Q%3d&tabid=2182&portalid=0&mid=8244","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
8244,2018,"May","2018 May/June NSC Exam Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=HDP6haTNAs8%3d&tabid=2182&portalid=0&mid=8244","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2018 May paper 1 english NA All",8244,"https://www.education.gov.za/LinkClick.aspx?fileticket=2ZIoHJORiKE%3d&tabid=2182&portalid=0&mid=8244","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
7332,2018,"November","2018 November NSC Examination Papers ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Zt9JRiC6gyE%3d&tabid=2268&portalid=0&mid=7332","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2018 November paper 1 afrikaans NA All",7332,"https://www.education.gov.za/LinkClick.aspx?fileticket=is3S4vL12tc%3d&tabid=2268&portalid=0&mid=7332","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
7332,2018,"November","2018 November NSC Examination Papers ","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=JzdhyUe6VjQ%3d&tabid=2268&portalid=0&mid=7332","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2018 November paper 1 english NA All",7332,"https://www.education.gov.za/LinkClick.aspx?fileticket=XgbeVRHvM5Q%3d&tabid=2268&portalid=0&mid=7332","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
8777,2019,"May","2019 May/June Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=nY7YzLqSJgw%3d&tabid=2468&portalid=0&mid=8777","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2019 May paper 1 afrikaans NA All",8777,"https://www.education.gov.za/LinkClick.aspx?fileticket=kFCLnHegsKA%3d&tabid=2468&portalid=0&mid=8777","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
8777,2019,"May","2019 May/June Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=GymWlSB43FM%3d&tabid=2468&portalid=0&mid=8777","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2019 May paper 1 english NA All",8777,"https://www.education.gov.za/LinkClick.aspx?fileticket=lPPE2N5MWvA%3d&tabid=2468&portalid=0&mid=8777","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
9019,2019,"November","2019 NSC Examination Papers (November)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=1MK9K_QC6FQ%3d&tabid=2556&portalid=0&mid=9019","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2019 November paper 1 afrikaans NA All",9019,"https://www.education.gov.za/LinkClick.aspx?fileticket=5cPpciopCKg%3d&tabid=2556&portalid=0&mid=9019","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
9019,2019,"November","2019 NSC Examination Papers (November)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=f2FotvhYdVI%3d&tabid=2556&portalid=0&mid=9019","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2019 November paper 1 english NA All",9019,"https://www.education.gov.za/LinkClick.aspx?fileticket=cv2TTn5YfGg%3d&tabid=2556&portalid=0&mid=9019","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
9613,2020,"November","2020 NSC and SC Exam Papers (November)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=PdQBwmQEjUY%3d&tabid=2702&portalid=0&mid=9613","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2020 November paper 1 afrikaans NA All",9613,"https://www.education.gov.za/LinkClick.aspx?fileticket=hJRDYrKJvig%3d&tabid=2702&portalid=0&mid=9613","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
9613,2020,"November","2020 NSC and SC Exam Papers (November)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=CpNCAdkHGzg%3d&tabid=2702&portalid=0&mid=9613","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2020 November paper 1 english NA All",9613,"https://www.education.gov.za/LinkClick.aspx?fileticket=DDw_yHjKdcE%3d&tabid=2702&portalid=0&mid=9613","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
9895,2021,"May","2021 NSC/SC May/June Examinations","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=V_418wSPp3I%3d&tabid=2837&portalid=0&mid=9895","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2021 May paper 1 afrikaans NA All",9895,"https://www.education.gov.za/LinkClick.aspx?fileticket=QoE7XWGrvm4%3d&tabid=2837&portalid=0&mid=9895","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
9895,2021,"May","2021 NSC/SC May/June Examinations","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=Lo_oEjh0HMs%3d&tabid=2837&portalid=0&mid=9895","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2021 May paper 1 english NA All",9895,"https://www.education.gov.za/LinkClick.aspx?fileticket=dHjFThcHQhk%3d&tabid=2837&portalid=0&mid=9895","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
2523,2009,"November","2009 November NSC Examination Papers ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=N27uE2G-aR4%3d&tabid=677&portalid=0&mid=2523","agricultural sciences","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural sciences paper 1","agricultural sciences 2009 November paper 1 afrikaans NA All",2523,"https://www.education.gov.za/LinkClick.aspx?fileticket=v3PE9sQsEm4%3d&tabid=677&portalid=0&mid=2523","agricultural sciences","agricultural sciences paper 1","agricultural sciences","PAPER 1","1.1.1 ",1.2
2523,2009,"November","2009 November NSC Examination Papers ","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=UjRexJp3XVU%3d&tabid=677&portalid=0&mid=2523","agricultural sciences","application/pdf","english","paper 1",NA,"All",NA," ","agricultural sciences paper 1","agricultural sciences 2009 November paper 1 english NA All",2523,"https://www.education.gov.za/LinkClick.aspx?fileticket=FrC3RJqx848%3d&tabid=677&portalid=0&mid=2523","agricultural sciences","agricultural sciences paper 1","agricultural sciences","PAPER 1","1.1.1 ",1.2
2523,2009,"November","2009 November NSC Examination Papers ","Paper 2 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=pM0aieJ2DPM%3d&tabid=677&portalid=0&mid=2523","agricultural sciences","application/pdf","afrikaans","paper 2",NA,"All",NA," ","agricultural sciences paper 2","agricultural sciences 2009 November paper 2 afrikaans NA All",2523,"https://www.education.gov.za/LinkClick.aspx?fileticket=Q5zmPDfk0RI%3d&tabid=677&portalid=0&mid=2523","agricultural sciences","agricultural sciences paper 2","agricultural sciences","PAPER 2","1.1.1 ",1.2
2523,2009,"November","2009 November NSC Examination Papers ","Paper 2 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=WYi63zmGQ0M%3d&tabid=677&portalid=0&mid=2523","agricultural sciences","application/pdf","english","paper 2",NA,"All",NA," ","agricultural sciences paper 2","agricultural sciences 2009 November paper 2 english NA All",2523,"https://www.education.gov.za/LinkClick.aspx?fileticket=WYi63zmGQ0M%3d&tabid=677&portalid=0&mid=2523","agricultural sciences","agricultural sciences paper 2","agricultural sciences","PAPER 2","1.1.1 ",1.2
2840,2011,"February","2011 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=qVum1JWyUmM%3d&tabid=726&portalid=0&mid=2840","agricultural sciences","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural sciences paper 1","agricultural sciences 2011 February paper 1 afrikaans NA All",2840,"https://www.education.gov.za/LinkClick.aspx?fileticket=1bPhNSYxfuw%3d&tabid=726&portalid=0&mid=2840","agricultural sciences","agricultural sciences paper 1","agricultural sciences","PAPER 1","1.1.1 ",1.2
2840,2011,"February","2011 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=X_kEL-NBFnU%3d&tabid=726&portalid=0&mid=2840","agricultural sciences","application/pdf","english","paper 1",NA,"All",NA," ","agricultural sciences paper 1","agricultural sciences 2011 February paper 1 english NA All",2840,"https://www.education.gov.za/LinkClick.aspx?fileticket=bvz-H-UhnuY%3d&tabid=726&portalid=0&mid=2840","agricultural sciences","agricultural sciences paper 1","agricultural sciences","PAPER 1","1.1.1 ",1.2
2840,2011,"February","2011 Feb/March NSC Examination Papers","Paper 2 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=VD6JYSKIILU%3d&tabid=726&portalid=0&mid=2840","agricultural sciences","application/pdf","afrikaans","paper 2",NA,"All",NA," ","agricultural sciences paper 2","agricultural sciences 2011 February paper 2 afrikaans NA All",2840,"https://www.education.gov.za/LinkClick.aspx?fileticket=wD58g_puDso%3d&tabid=726&portalid=0&mid=2840","agricultural sciences","agricultural sciences paper 2","agricultural sciences","PAPER 2","1.1.1 ",1.2
2840,2011,"February","2011 Feb/March NSC Examination Papers","Paper 2 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=bvz-H-UhnuY%3d&tabid=726&portalid=0&mid=2840","agricultural sciences","application/pdf","english","paper 2",NA,"All",NA," ","agricultural sciences paper 2","agricultural sciences 2011 February paper 2 english NA All",2840,"https://www.education.gov.za/LinkClick.aspx?fileticket=FJaR1U6NZY0%3d&tabid=726&portalid=0&mid=2840","agricultural sciences","agricultural sciences paper 2","agricultural sciences","PAPER 2","1.1.1 ",1.2
2295,2011,"November","2011 November NSC Examination Papers  ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=2z9P05yes9w%3d&tabid=647&portalid=0&mid=2295","agricultural sciences","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural sciences paper 1","agricultural sciences 2011 November paper 1 afrikaans NA All",2295,"https://www.education.gov.za/LinkClick.aspx?fileticket=HwFAkov5nPM%3d&tabid=647&portalid=0&mid=2295","agricultural sciences","agricultural sciences paper 1","agricultural sciences","PAPER 1","1.1.1 ",1.2
